Dataset,User_N,SensitiveATT,Pro_N,Pro_percent,TargetAtt,rKL,rND,rRD
ProPublica,6889,race,3361,49,Recidivism_rawscore,0.18191828020776232,0.4488056622714123,0.0
ProPublica,6889,race,3361,49,Violence_rawscore,0.1902282599872662,0.44871266409909677,0.0
ProPublica,6889,race,3361,49,priors_count,0.04269516700435133,0.23617261788590818,0.0
ProPublica,6889,sex,5561,81,Recidivism_rawscore,0.0337752390135746,0.15234774423273056,0.3928077784081083
ProPublica,6889,sex,5561,81,Violence_rawscore,0.02445215935937039,0.11386071236032454,0.31891399553960315
ProPublica,6889,sex,5561,81,priors_count,0.013274987771768125,0.12125616093605217,0.3416575544623926
GermanCredit,1000,sex,310,31,CreditAmount,0.034615798784636304,0.15968011979637783,0.0
GermanCredit,1000,sex,310,31,DurationMonth,0.011924482332777117,0.09080540157288162,0.17818904707318745
GermanCredit,1000,sex,310,31,score,0.014259071428320344,0.11414708458887986,0.21783541940512893
GermanCredit,1000,age25,851,85,CreditAmount,0.018050483350549998,0.10769406358083745,0.31252458684481177
GermanCredit,1000,age25,851,85,DurationMonth,0.013380739160385034,0.06422809799289288,0.0913547531866412
GermanCredit,1000,age25,851,85,score,0.014516315149142882,0.10617481111806273,0.011572289255281322
GermanCredit,1000,age35,452,45,CreditAmount,0.009251256879791793,0.0546201262318399,0.014617040595772249
GermanCredit,1000,age35,452,45,DurationMonth,0.003393314001513453,0.05981395775775582,0.09217789346751547
GermanCredit,1000,age35,452,45,score,0.16821395114954804,0.41656629948512464,0.0
