Dataset,User_N,SensitiveATT,Pro_N,Pro_percent,TargetAtt,rKL,rND,rRD
ProPublica,6889,race,3361,49,Recidivism_rawscore,0.08998557280986622,0.22306657722005355,0.0
ProPublica,6889,race,3361,49,Violence_rawscore,0.09448064396432733,0.2232374130981336,0.0
ProPublica,6889,race,3361,49,priors_count,0.020243597452168024,0.1164631102511024,0.0
ProPublica,6889,sex,5561,81,Recidivism_rawscore,0.010365816428574356,0.07549699417869377,0.19279992960187495
ProPublica,6889,sex,5561,81,Violence_rawscore,0.005495015686877587,0.05618325656737846,0.1562594063790661
ProPublica,6889,sex,5561,81,priors_count,0.0066159900337728105,0.06046526804561351,0.17038999590391676
GermanCredit,1000,sex,310,31,CreditAmount,0.01465393418614891,0.07439678628951986,0.0
GermanCredit,1000,sex,310,31,DurationMonth,0.005393404413828442,0.04418912770713439,0.08626507044754425
GermanCredit,1000,sex,310,31,score,0.006763112880722098,0.052765413797614166,0.103570609873336
GermanCredit,1000,age25,851,85,CreditAmount,0.0104001007329544,0.0560914821832727,0.15756488684549452
GermanCredit,1000,age25,851,85,DurationMonth,0.0035382972011815767,0.025716170804889776,0.0362040482422379
GermanCredit,1000,age25,851,85,score,0.00707547204889497,0.05191938554275743,0.0
GermanCredit,1000,age35,452,45,CreditAmount,0.001075532352198697,0.020099783929363322,0.006837346283237125
GermanCredit,1000,age35,452,45,DurationMonth,0.001451276355964624,0.028149329532732078,0.04173843151728667
GermanCredit,1000,age35,452,45,score,0.08576865546825684,0.20853945268104881,0.0
